Tweet,HatespeechOrNot (Expert 1),HatespeechOrNot (Expert 2),Hatespeech Rating (Expert 2)
Das deutsche #Nazi Pack muss sich irgendwann entscheiden. #KlappeHalten oder mal ernsthaften #Widerstand leisten.#WirSchaffenDas #rapefugees,NO,NO,2
"Ich dachte, dass #Asylbewerber in Deutschland alle #Kriegsflüchtlinge sind. Jeden Tag stehen #Algerier, Marokkaner und Afghanen.. #Asylanten",NO,NO,1
"#sterntv zeigt die Realität der Rente. Manche #Asylanten lehnen Arbeit ab, weil sie keine 4000€ netto verdienen wie versprochen.",NO,NO,2
"Stimmt, führen wir doch die #Scharia ein. Gäbe bald keine #Wiederholungstäter mehr bei Diebstahl. #srfarena #DSI #handab",NO,YES,5
"Unsere Regierung hat den Rotkäppchenkomplex,fütter lieber den Wolf(kriminelle #Asylanten),als die Großmutter(das eigene #Volk) #Merkel #CDU",NO,NO,3
Friedlicher #Karneval und nach wie vor keine #Islamisierung. Läuft bei uns mit der #Integration. Da erblassen andere Länder vor Neid.,NO,NO,1
#zib2 #Wolf heute in Opernballmilde: keine einzige Zeile über den Supervorteil von #Asylanten ...,NO,NO,1
"#schweinefleisch für alle #Flüchtlinge und #Asylanten. Wer saufen kann und Kinder vergewaltigen, braucht keine extra """"Wurst"""" ..Fuck Refugges",YES,YES,6
"#Asylpaket2 endlich beschlossene Sache, wir werden sehen ob damit die #Asylflut eingedämmt wird #Flüchtlinge #Flüchtlingspolitik #Asylanten",NO,NO,1
#Islamisierung Wollen wir eigentlich die unübersehbar stattfindende  Islamisierung Deutschlands. Oder hat Pegida nicht doch recht?,NO,NO,1
#Bereicherung durch #Asylanten? #Sicherheitslage in #Deutschland katastrophal schlecht... #Asylchaos #abmerkeln,NO,NO,1
#annewill #Islamisierung ist gar nicht so schlimm. Habe gerade #Unterwerfung gelesen ;-),NO,NO,1
als asylant verkleidet an die fasnacht frauen begrabschen gehen. gesellschaftssatire pur! #fasnacht2016 #satire #asylanten,NO,NO,4
"Wie jetzt,gemäßigte Opposition in #Syrien besteht auch aus #Fudamentalisten, die einen #Gottesstaat und die #Scharia wollen? #PestCholera",NO,NO,1
"Kinderfickende, schächtende #rapefugees! Wer Kinder-, Frauen-, oder Tierrechte verteidigt, darf nicht #gruene #spd oder #cdu wählen! #ltwbw",YES,YES,6
In Baden-Württemberg gibt's jetzt Ne extra #Asylanten -Polizei! Bisher zu viele Anzeigen/Straftaten zu wenig Verhaftungen!,NO,NO,1
#Asylantenheime #anzünden=#verbrecherisch -aber einziges Augenmerk auf #deutsche #Straftäter +nicht auch #Krimigranten #rapefugees =#nogo,NO,NO,3
"#merkel läßt deutschen steuerzahler bluten für Syrien, algerien, marokko, tunesien, etc. und bietet Mio #asylanten all incl. Grandios dumm",NO,NO,3
Wann stoppen #Faymann #SPÖ und #Mikl-Leitner #ÖVP endlich das Durchwinken und Weiterschicken von #Asylanten und #Wirtschaftsflüchtlingen?,NO,YES,4
#scharia in # Deutschland?  Werden die Kölner Kulturtänzer demnächst handlos? Dann berufsunfähige Frührentner? Fragen über Fragen,NO,NO,1
"Bei Aldi verkaufen sie Lachs, der morgen abläuft.Im #Asylanten-Heim gäbe es sowas nicht.",NO,NO,1
"Kinder im Schwimmbad"""" #Edathy gefällt das!  #Rapefugees in #Kölnbad auch.",YES,NO,3
"Die linksgrün-versiffte Mischpoke in Berlin wird sich noch wundern, wenn die #Rapefugees im Sommer so richtig abgehen. Deustche Mädels,..1/2",YES,YES,6
"Wird #sophienhof wieder zensiert aus den twitter trends? Bloß wieder nicht ansprechen,was für ein scheiß Problem auf uns zukommt #rapefugees",NO,NO,4
#rapefugees wieder in Köln aktiv. Übergriffe im Schwimmbad in Zündorf. Der Sommer kann kommen #koelnhbf #nolegida,NO,NO,3
"Flüchten, wo andere Urlaub machen. #Idomeni #refugeesnotwelcome",NO,NO,1
"Wie kann ich, wenn ALLE gegen mich sind, von denen verlangen, dass sie tun, was ICH will? #Merkel2016 * Europäische Lösung, #Asylanten #Asyl",NO,YES,3
"Schade, dass heute nicht Wahl ist, sonst würde ich nämluch direkt die AfD wählen. #RefugeesNotWelcome #Widerstand",NO,NO,1
#rapefugees laufen sich langsam warm. Kölnerin wird von Flüchtling vergewaltigt. #Obergrenze #armlänge #alaaf #Karneval,YES,YES,6
#annewill  Warum gibt es in Europa nicht einheitliche Standarts so das alle #Asylanten überall selbe Leistung bekommen? Zu einfach???,NO,NO,1
Stellt Lügenpresse eigentl schon Überlegungen in München an zur Nacktbadesaison an der Isar und Flüchtlinge Primaten? HAHAHAHA #rapefugees,YES,YES,5
Frauen die sich nicht freiwillig von Flüchtlingen ficken lassen sind sind ein Verstoß gegen die Menschenwürde. #Hungerstreik #Rapefugees,YES,YES,5
"90% aller #Asylanten wollen nur deshalb nach D, weil sie nirgends auf der Welt mehr Geld bekommen! Nebenbei islamisieren. #Lanz",NO,YES,4
"Ihr sollt nicht alle NAZIS an den Taten einiger weniger Nazis beurteilen""""...sagte niemand. #Appeseament #Islamisierung #taqqiya",YES,NO,2
"Viele Menschen in #Europa fürchten eine #Islamisierung, berichtet #hartaberfair. #Migranten",NO,NO,1
#Deutschland wird #Asylanten zu #Sicherheitsbeamten ausbilden um eine #Perspektive für #Syrien zu schaffen #MSC2016 #Fluechtlinge,NO,NO,1
"Beim #lasttweet aufgefallen, dass zuerst #refugeesnotwelcome nicht #refugeeswelcome vorgeschlagen wird. Könn wir das ändern? #followerpower",NO,NO,1
"Wer die #Islamisierung bestreitet, dem sei ein Trip in arabisch dominierte Viertel in London empfohlen. #hartaberfair",NO,NO,1
Wer will überhaupt immer noch kriminelle #Asylanten in Europa aufnehmen? #Passverfälschung #Schleuser,NO,NO,1
Wo ist der #aufschrei #ausgruenden #Belästigung von #Flüchtlingsfrauen in #Flüchtlingsheimen?  Könnt wohl nur #koelnhbf u #Rapefugees?  :'-(,YES,YES,4
städte- und Gemeindebund erwartet 2 Mio #asylanten in 2016. es wird Zeit für grenzsoldaten. massenabschiebungen. #merkel amtsenthebung!,NO,NO,2
"Die Frage ist, warum sehen die Menschen in D die Millionen muslimischen #Migranten NICHT als Gefahr im Sinne einer #Islamisierung an.",NO,NO,1
"#Lanz ich staune auch, mit welcher Leidenschaft  die #Islamisierung in #Deutschland verteidigt wird!!",NO,NO,1
"Langsam nähern sich auch die #CDU/#SPD-nahen Wirtschaftsinstitute seriösen Prognosen an, wonach die #asylanten 50 Mrd. € pro Jahr kosten.",NO,NO,1
#GroKO-Regierung hat die bürgerliche Mitte schon lange verlassen! #Islamisierung #Umerziehung #Migrantenstadel #Merkelmussweg,NO,YES,3
"die laufende #islamisierung deutschlands und europas macht deutlich, wie viel wir an deutschland und europa wirklich hatten.",NO,NO,1
"wer, glaubst du, finanziert das durchfüttern, Zelte, Bekleidung, der armen #Rapefugees an den Grenzen? Glaubst du die zahlen für irgend was?",NO,YES,2
"Wenn Leute, die Deutschland hassen immer mehr #Flüchtlinge dorthin holen wollen - sind das dann nicht #Asylanten-Hasser?",NO,NO,1
"Alle #Fluechtlinge nach #GG illegal!Nach Art. 16a nur #Asylanten #EU + sichere Drittstaaten. #NaherOsten, #Afrika = nicht",NO,NO,1
"lieber #Horst #Seehofer, gibt es #Asylanten, die besser im #Tierasyl aufgehoben wären ? #sz #faz #zeit #nzz",YES,YES,4
"Worauf warten diese scheiss #Flüchtlinge und #Asylanten eigendlich? #Griechenland = #Europa = kein Kriegsland. STOP REFUGGES,",NO,YES,4
#Merkel und co erwarten 500000 #Flüchtlinge in 2016! 2015 am Anfang waren es 250000! Die #V4 werden IHR Druck machen.  #Islamisierung NEIN,NO,NO,1
Besser als Schreckschusswaffe gegen #rapefugees: Wasserspritzpistole gefüllt mit Schweineblut ^^,YES,YES,4
"Extraunterkünfte für Frauen u Christen,um sie vor den #Asylanten zu schützen.Wärs net besser die Anderen zu separieren?Im Flieger nachhause",YES,NO,4
"#Asylanten: #EU #Gipfel: Ist das eine #Merkel Show, die nun Millarden an d.#Türkei anweisen will u. die Visumpflicht auch gleich abschafft?!",NO,NO,1
"#annewill wir bekommen keine Weimarer Republik, sondern #Islamisierung, siehe #Schweden, dt. Kultur weg + Geldverschwendung!",YES,NO,3
"Deutschland den Deutschen.  """"#Flüchtlinge"""" #Illegale #Überfremdung #Islamisierung #Antigermanismus #Widerstand #abmerkeln #REMIGRATION!",NO,NO,3
#klöckner biegt sich die Wahrheit zurecht! dank #merkel haben wir Millionen #asylanten in D. auch Marokkaner. erst gar nicht ins Land lassen,NO,NO,1
Terrorrazzien in Asylheimen. Gibt es nun doch einen Zusammenhang zwischen illegaler Einwanderung und islamischem Terror? #Islamisierung,NO,NO,1
"lieber #Horst #Seehofer,das #Geld aus #Saudiarabia versucht sich momentan an der #Islamisierung #Europas ! #sz #faz #zeit #nzz",NO,NO,2
wir wissen daß über 50% der #asylanten ewige langzeitarbeitslose sind. warum sitzen diese nicht bei #illner & #will? das wäre repräsentativ!,NO,NO,2
Respekt! Der Türke zieht in Deutschland eine Moschee nach der nächsten hoch. So gewinnt man! #Islamisierung,NO,NO,1
"Maas: """"Die kommenden Wochen werden über die Zukunft Europas entscheiden."""" - genau: Islamisierung oder Grenze dicht! #refugeesnotwelcome",NO,YES,3
"Schleich. Infiltration, massiver Migrations #Jihad und latent linke Konditionierung durch #Lügenpresse aber keine Sorge wegen #Islamisierung",NO,NO,3
#Silvesternacht in #NRW. Erste Verurteilung! 6 Monate auf Bewährung für bereits vorbestraften #Asylanten. Wenn das kein gutes Zeichen ist.,NO,NO,1
#Merkel ist jetzt in der #Türkei. Schnell die Grenzen schließen und die Frau nicht mehr reinlassen! #abmerkeln #refugeesNOTwelcome,NO,NO,4
Das nächste mal vertecke ich #rapefugees in ihrer Torte sie dumme Nazi sau #tortalerkrieg,NO,NO,4
Nordafrikanische Single Männer not Welcome #rapefugees,NO,NO,2
Sich schützend vor deutsche Frauen stellen bei Belästigung durch #rapefugees. #wasistrechts,NO,NO,2
"Wer zahlt hier meinen Kindern, den kompletten Unterhalt beim Studium, so wie den #Asylanten? ICH!! #maischberger",NO,NO,2
Das Problem sind nich die #Asylanten. Es sind die uninformierten und übergangenen Bürger. Und die #Politik ignoriert's noch immer. #Bautzen,NO,NO,1
Im #ARD läuft schon wieder #Rapefugees Propaganda.... Zum Kotzen,NO,YES,4
"Seht mein Profilbild an! Glaubt Ihr, #rapefugees werden durch Belehrungen oder Benimmkurse von Vergewaltigungen abgehalten?",YES,NO,3
"N24: Mehr Polizei, weniger Feiernde aber mehr Sexualdelikte als sonst #abmerkeln #rapefugees #merkelmussweg #refugees",YES,NO,3
"#NoHate Für Kindergärten und Schulen gibt es keine Gelder, aber #Asylanten bekommen alles in den Arsch geschoben. Gehts noch?",NO,NO,2
Die Regierung alimentiert Menschen aus aller Welt & fördert #Islamisierung unsrer Heimat...mit unsren Steuern! #Volksverräter abwählen! #AfD,YES,YES,3
"Make Rape Legal"""" findet Merkel auch und deshalb flutet sie unser Land mit #Rapefugees.     #abmerkeln #merkelmussweg #merkeldiktatur",YES,YES,5
"#Hausverbot für 4 vom übergriffigen Mob im #Sophienhof in #Kiel. Na super, dann sind wir ja jetzt sicher vor denen. Nicht. ?? #rapefugees",YES,NO,2
Eine europäische Lösung wird es NICHT geben. Merkel greift nach einem Strohhalm den es nicht gibt.. #Orban #merkel #cdu #rapefugees #cdu,NO,NO,2
Integration findet also im Kopf statt!? Bislang doch eher im Schwanz! #koelnhbf #fluechtlinge #rapefugees,YES,YES,5
"Soll der neue Begriff #Asylsuchende jetzt mehr Mitleid hervorrufen als #Asylanten, #Asylbewerber, #Migranten oder #illegaleEinwanderer?",NO,NO,2
Was machen eigtl. die vielen Vögel mit den Kameras zwischen den Randale-#Asylanten in #Mazedonien ?,YES,NO,2
"im Mittelmeer die Flüchtlingsboote an den Haken und wieder zurückschleppen, zerstören und gut ist. Dann kommt da keiner mehr #Asylanten",NO,NO,2
"Zäune sind unausweichlich,um #islamisierung mit anschl. #Jihadh wie bereits in Nigeria,Indien,Thailand,Israel,Frankr,Belgien,UK...zu stoppen",NO,NO,1
#Frankreich macht ja schon Grenzkontrollen. Haben die wirtschaftliche Einbußen? Nö. #Grenzenzu #FestungEuropa #refugees #refugeesNOTwelcome,NO,NO,2
"Jetzt schwenkt der falsche Fünfziger Gabriel in die Richtung derer,die er damals als Pack bezeichnet hat! #Merkel  #Asylanten #maybritillner",NO,NO,3
Mit #Scharia können #Merkel und #Siggi erst recht durchregieren . #Groko,NO,NO,1
"#tagesschau nennt #Levante-Dschihadisten, die für einen #IslamischenStaat mit #Scharia in #Syrien kämpfen, """"einigermaßen gemäßigte Rebellen""""",NO,NO,3
"#illner: #cdu lebt im falschen Land scheint mir... 12,5 mio deutsche sind arm (2016). geld für #asylanten gibt's dicke.",NO,NO,3
#pegida ihr habt einen Maulwurf  Handabhacken für Diebstahl #Scharia   Erschießen bei illegalem Grenzübertritt #afd,YES,NO,3
Wie hat Sloterdijk so schön gesagt? Es gibt keine moralische Pflicht zur Selbstzerstörung. #IslamicState #Islamisierung #Fluechtlingskrise,NO,NO,1
#ZDFzoom #Flüchtlinge #asylanten diese Reportage sollte ein MUSS sein für Interessierte! 1000 Dank an Frau #Knobel-Ulrich u ZDF,NO,NO,1
Man wünscht sich eine schlagkräftige Bürgerwehr für #Sophienhof. Politik versagt auf ganzer Linie. #rapefugees #abmerkeln,NO,NO,2
Unterhaltsam die Metamorphose v #Gutmenschen zu #besorgteBürger zu beobachten wenn neben der Schule der Tochter ein #Asylanten-Heim entsteht,NO,NO,4
Rettet die deutsche Frau vor dem Multikuliti Wahn #rapefugees,YES,YES,5
#rapefugees in der Siedlung? #hartzundherzlich,YES,YES,3
"syrische #asylanten wollen in hungerstreik gehen, weil Klopapier gelegentlich fehlt? wer unzufrieden ist, sollte gehen! no #refugeeswelcome",NO,NO,3
"Es ist weder islamophob noch rassistisch, Kritik am Islam zu üben. #Kinderbraut  #Frauenunterdrückung #Intoleranz #Scharia",NO,NO,2
"#Sonderrecht für #radikale, #kriminelle #Islamisten installieren? -nach d #Scharia aburteilen? -#Diebstahl: Hand ab? -schnell Ruhe im Karton",YES,NO,3
Mit Zuckerberg schließt sich der Kreis. #refugeeswelcome #refugeesnotwelcome,NO,NO,4
#NoPegida =  #ISIS Unterstützer  #Scharia Befürworter  #Islam gehört zu DE Sympathisanten  #GG Bruch Gutheißer  #Asylindustrie Profitierer,NO,NO,2
#Asylanten sollen #arbeiten können.Die #Wirtschaft gibt #Knowhow und der #Staat bezahlt. Muss er sowieso....,NO,NO,1
Im übrigen müsste klar sein das die #rapefugees aka IS monkeys die  Absage von #Rosenmontag als  Herausforderung ansehen.  #merkelmussweg !!,YES,NO,4
#asylanten stapeln sich in GR. was macht #merkel & #cdu? ducken sich weg! kein Wort daß wir keine #migranten mehr wollen! Schämen Sie sich!,NO,NO,1
"#funfact : Die #AfD wettert gegen #Asylanten , erzeugt aber wahrscheinlich jetzt schon in #Hessen politische Fluechtlinge...",NO,NO,1
"#hartaberfair Warum werden #Fluechtlinge wie  #Migranten behandelt? Sind #Asylanten - müssen zurück, kein Bleiberecht!",NO,NO,1
"Schüler sollen #refugees Betten machen,  sich auf arabisch bei denen entschuldigen, was kommt noch? #refugeesNOTwelcome #GutmenschGoHome",NO,NO,2
Alleinherrscher #Putin wird mit Sanktionen belegt-Diktator #Erdogan werden alle Erpressungswünsche erfüllt! Klasse #Merkel #Asylanten,NO,NO,1
#Flüchtlinge und #Asylanten bzw. #Migranten sind #perverse kleine #Kinderficker.,YES,YES,6
#rtl berichtet jetzt über gewalttätige #asylanten #refugees,NO,NO,1
#cdu kapiert es nicht! Alle in europa ausser cdu von #merkel wollen keine #asylanten. sichert die aussengrenze oder EU und merkel sind tot,YES,YES,4
Der blanke politische Schwachsinn:  #Sturmwarnung | #Rosenmontag  #rapefugees | #Kriminalität | #AfD  Kapitulation im vollen Gange #CDU,NO,NO,2
#Schweden findet Missbrauch v.Kindern OK #Kinderehen #Asylanten Bei unbewiesenen Vergewaltigungsvorwurf sind sie nicht so tolerant #Assange,YES,NO,3
"Mensch #Gabriel, weil #Europa keine #Muslime haben will. Nur #Merkel bringt uns diesen Fluch. #Illner #Asylanten",YES,NO,4
"Das Geld ging für Lunchpakete der #rapefugees drauf. Find dich damit ab u stirb, wenn du arbeitslos bist. Deine Bundes- u Landesreg. #Domian",NO,NO,3
Sollen dt. Städte in die Topliste der gefährlichsten der Welt aufsteigen? Dann wählen Sie weiter die #Altparteien! #Rapefugees & IS danken,NO,NO,2
"Glawischnig #Weltfrauentag: """"Ich bekämpfe kein Kleidungsstück."""" #burka #scharia #islam #isis #diegrünen #menschenrechte #frauenrechte #vdb16",NO,NO,1
make rape legal soll uns wohl schon athmosphärisch vorbereiten auf Vergewaltigungswelle musl. #rapefugees.In gesamter EU tgl. zu notieren!,YES,YES,5
"#klöckner wählen heißt 2 Mio neue #asylanten, türkei Mitglied in EU und Euro, neue #Steuern, Zensur & sharia.Ich will das nicht. #afd wählen",NO,NO,2
#cdu hat die deutschen schon aufgegeben. jetzt geht es darum den #asylanten möglichst schnell das Wahlrecht zu übertragen. genug #refugees,NO,NO,2
würden wir #kriminelle #islamistische #Migranten nach der von ihnen gewünschten #Scharia #bestrafen -wäre schnell Ruhe im Karton,NO,YES,5
"Die #Asylanten werden sich in #Deutschland festsetzen,und höchstens zu Besuch zu #Verwandten fahren.Ich fordere eine #RückkehrPflicht. #afd",NO,NO,2
"Man isst zu Abend= #eu Gipfel - Hast Du heute schon gnachtmahlt, #Angela ? #europa  #Flüchtlinge #fleuchtlingskrise #Asylanten",NO,NO,1
"geplatzte #Träume sind immer noch besser, als ein geplatztes #Kondom. #Asylanten",NO,NO,4
"Fünf #Männer und eine devote #Frau! Wie immer bei #Lanz . Mir ist irgendwie übel, muß leider abschalten. #Lanz #Merkel #Scharia #kölnhbf",NO,YES,2
Wieso nehmen nicht #Bergdörfer die #Asylanten und #Flüchtlinge  auf ? so wären die Schulen im #Dorf gesichert. #Bundesasylzentrum #Wallis,NO,NO,1
"Wähler und Nichtwähler: Wir müssen uns wehren- wählt AFD,nicht aus Überzeugung, aber ausNotwehr  #rapefugees #madmerkel #annewill #lanz",NO,NO,3
"#Hoaxmap, weil #Rapefugees vergewaltigen auch manchmal niemand",YES,YES,4
Allianz für Weltoffenheit das heutige Motto der #Islamisierung skampagne.Tgl.+weltweit wird die Würde des M. im Namen des Islams missachtet!,NO,NO,2
"Wer für #Täterschutz,#Islamisierung und Abschaffung #Deutschland(s) ist,wählt weiter #Grüne,#Linke,#SPD,#CDU. Wer das nicht will,wählt #AfD.",NO,NO,1
"beachtlich, wieviel gutmenschen von einst mittlerweile die hosen gestrichen vollgeschissen haben vor angst vor #rapefugees #spielfeld",YES,YES,5
"Die #afd wird in den nächsten Jahren auf über 25% kommen,warum?Weil eure #Asylanten euch zeigen werden wie freundlich Sie wirklich sind!#afd",NO,NO,2
EU stellt 16 300Mio für #Invasoren bereit! Wer wird das wohl bezahlen? #Refugeesnotwelcome #Fluechtlinge #Pegida #AfD #CDU #Merkelmussweg,NO,NO,4
"#RefugeesWelcome Brüllern ist tägliche #Kriminalität der """"#Flüchtlinge"""" wohl egal oder sie wollen es nicht wahrhaben. #AfD #Islamisierung",NO,NO,3
"Übrigens, so wie ich die Dinge sehe, ist die Einführung der #Scharia in #Deutschland eigentlich nur noch eine Frage der Zeit ...#Flüchtlinge",NO,NO,1
"Nein zu #Multikulti, nein zur #Islamisierung, nein zu #Merkel #Vertrauensfrage",NO,NO,1
"#Kiel : der #Asylkult und seine Folgen, bald auch in Ihrem #Einkaufszentrum , lieber #SPD - Wähler und sonstiger #Traumtänzer  #rapefugees",NO,NO,1
"Ja zur Einwanderung z.B. aus Amerika, Australien, Ostasien. Nein zu #Überfremdung und #Islamisierung.",NO,NO,1
Die Geschichte wird das Merkel-Regime als genauso zerstörerisch für Europa bewerten wie das NS-Regime #abmerkeln #islamisierung,NO,NO,2
Wie viele #Gebetsräume für #Christen wurden von #Islam-#Fanatiker bis jetzt in #Deutschland zerstört? #Trümmerfrau #Asylanten #Bürgerwehr,NO,NO,3
#heute-journal: UN ehrt #merkel für #asylpolitik. 1 Beitrag später: Suche nach kriminellen #asylanten. 107 Männer werden gesucht. Danke #cdu,NO,NO,2
"Wir bekommen #Asylanten aufgedrückt, wir bekommen #TTIP vorgesetzt, müssen übelste moderne Propaganda in den Medien ertragen. Wie weit noch?",NO,NO,1
Wer will auch bewaffnete Grenzer? #BorisPalmer #Grüne Die #Afd hat halt recht und er auch! Und die #GrüneJugend kotzt! #refugeesNOTwelcome,NO,NO,2
"Schleichende #islamisierung """"aus Rücksicht""""kein Schweinefl. Was als nächstes? Frauen, Ungläubige verbannen?#Schweinefleischpflicht sinnvoll",YES,YES,4
"Hört auf damit widerliche Kommentare über #Flüchtlinge und #Asylanten zu machen, es reicht!",NO,NO,2
360% mehr sexuelle Übergriffe an #Karneval als im Vorjahr. #rapefugees #refugeesnotwelcome #grenzendicht #abmerkeln,YES,NO,3
"Frau #merkelmussweg Deutschland in der EU immer mehr isoliert,dank ihrer #Asylanten Politik,was machen sie,wenn der nächste Gipfel erfolglos",NO,NO,4
#Österreich macht es richtig. #Flüchtlingsobergrenze #refugees #refugeesNOTwelcome #refugeesgohome #Merkelmussweg #CDU,NO,NO,3
"Bahnstrecke (S2) Erding->München wurde vorhin gesperrt, weil #Asylanten meinten, sie müssen die Gleise entlang nach München laufen.",NO,NO,1
Fakt ist HIER IN DE LÄUFT DEFINITIV WAS FALSCH! #illner #edathy #islamisierung,NO,NO,2
"Antisemitismus ist im gesamten arabischen Raum verbreitet, praktisch salonfähig.Warum wird sowas nicht thematisiert? #islamisierung #Asyl",NO,NO,2
"Etwa 10 Prozent der Bevölkerung von #Syrien sind Christen verschiedener Konfessionen;  1920 waren es noch 30 Prozent."""" #Islamisierung",NO,NO,1
"#regierung #merkel betreibt eine verlogene Migrationspolitik vs eigene Bevölkerung,die die #islamisierung weiter beschleunigt! #abmerkeln",NO,NO,1
"#Erdogan in Jakarta: """"Islam Islam Islam"""". Jetzt soll #EUropa für seine #Islamisierung 6 Mrd € zahlen.  Es g nur eine Antwort: Ablehnen! ??",NO,NO,1
"#Arschloch Ochsner redet die #Scharia schön, um Waffenexporte der #RUAG nach Saudi Arabien zu exportieren. Salzmann unterstützt. #srfarena",NO,YES,1
"unter den #Fluchtlinge & #Asylanten gibt es doch angeblich keine Terroristen,sollen doch nur Fachkräfte,Ärzte&Ingenieure sein.",NO,NO,2
Wir brauchen dringend Wahlbeobachter!    #ltwrlp #ltwrp #ltwbw #merkel #afd #cdu #csu #spd #malu2016 #laschet #rapefugees #krimigranten,NO,NO,2
JA zu asylobergrenze ! #Asylpolitik #Asylanten,NO,NO,1
Ich will diese muslimische #Invasion hier nicht! Ich will keine #Asylschmarotzer #Krimigranten und #Rapefugees! Ich will nicht!!,YES,YES,5
wenn sich Schutz suchende #Flüchtlinge in Europa als #radikale #Islamisten-#Krimigranten-#Rapefugees entpuppen -in #Gefangenenlager stecken,YES,YES,5
Aber eine #Islamisierung findet nicht statt. #LT,NO,NO,1
#Rosenmontag in Mainz und Nordafrikadüsseldorf abgesagt. Hat aber nichts mit #rapefugees zu tun.,YES,YES,5
"Die """"gute"""" Fratze des Kapitalismus, jetzt bei #maischberger hat 600m² großes Mausoleum für sich gebaut. Warum nicht an #rapefugees schenken?",NO,NO,3
Nicht alle #Sachsen wollen keine #Asylanten. #Tillich + #Gabriel hetzt über eigene Landsleute. Politikdarsteller sind beschämend,NO,NO,1
"Es darf nicht sein, dass wir unsere #Esskultur in öffentlichen Einrichtungen auch noch der #Islamisierung opfern sollen! #Schweinefleisch",NO,NO,1
"Puh,bloss Glück gehabt, dass die 30 #rapefugees von #Kiel nur Mädchen verfolgt und keinen Bus blockiert haben. Gerade noch mal gut gegangen!",YES,NO,5
#Flüchtlinge in #Clausnitz filmten mit Handys & provozierten mit Stinkefingern. #clausnitz2002 #Sachsen #Flüchtlingskrise #Asylanten,NO,NO,2
#muttikulti - die von mutti merkel verschuldete eskalation des multikulti-problems durch einladen von  #rapefugees und #krimigranten.,NO,YES,3
#RefugeesNotWelcome Boykottiert #Bild und andere #Gutmenschen,YES,NO,4
"Kinder in Schwimmbad unbeaufsichtig zu lassen,kann man als Eltern vergessen,wenn frei rumlaufende #rapefugees ihr Unwesen treiben.#abmerkeln",YES,YES,4
Täglich gibt es in #Deutschland #vergewaltigungen an Kindern von dreckigen #Flüchtlingen und #Asylanten. Eine Schande FUCK YOU #refugges,YES,YES,6
#Mindestlohn soll wegen #Asylanten teilweise ausgesetzt werden.  #Flüchtlinge,NO,NO,2
"Ich werde #Gutmensch!Seid ihr geschockt?Ich stehe am Flughafen und winke den abreisenden abgelehnt. #Asylanten,und wünsche einen guten Flug.",NO,NO,3
#hoaxmap sollte lieber den #Opfern und #Frauen von #Vergewaltigungen durch #Flüchtlingen und #Asylanten helfen. Opferschutz ;),NO,NO,2
"Frauen u Christen bekommen Extraunterkünfte, um sie vor den #Asylanten zu schützen.U wer schützt die Deutschen wenn die rausgekommen?",YES,YES,4
"wie kann Menschen nur so doll hassen, dass man sie sterben sehen möchte? #asylanten #AfD #noafd #nonazis #sachsenanhalt #menschistmensch",NO,NO,1
An der Grenze zu #Mazedonien versuchen tausende  #Asylanten mit Gewalt nach #Deutschland durchzubrechen fast nur noch Männer,NO,NO,1
"Kein Sturm in Sicht,der rechtfertigt Umzüge an #Rosenmontag abzusagen. Vermutlich ist der """"Sturm"""" aus Nordafrika der Grund. #AfD #Rapefugees",YES,NO,3
Ich beschütze deutsche Frauen Teilzeit vor #rapefugees .,NO,YES,3
Kälte und schlechtes Wetter im Winter sind ein Verstoß gegen die Menschenwürde. #Hungerstreik #Rapefugees,NO,NO,3
FR hat Teile des #Invasoren lagers #Calais geräumt / GR wird Invasorenlager #Idomeni räumen. Besser spät als nie. #Rapefugees #Invasion,NO,NO,4
"würden deutsche Soldaten nicht decken an #asylanten verteilen, könnten sie helfen die EU aussengrenze zu bewachen! #merkel rafft das nicht",NO,NO,1
"Sabatina James bei  #lanz, sicher mutig aber wie soll #Deutschland ihre #Scharia-Probleme lösen? #OpfersindOpfer",NO,NO,1
Statt #Hoax eine Liste aller bestätigten sexuellen Übergriffen der #rapefugees.Das wäre wirkliche Transparenz für Bevölkerung! #abmerkeln,YES,NO,4
"Übrigens, hat die Berliner Staatsanwaltschaft nichts besseres zu tun (#Kriminalität v. #Asylanten), als wg. 1/2g Meth durchzudrehen?! #Beck",NO,NO,1
"Falls #Merkel bei #EU-#Türkei Gespräch zu """"#Flüchtlinge"""" """"Erfolg"""" hat, verkaufen uns Medien die #Islamisierung wohl als """"Bereicherung"""". #AfD",NO,NO,1
#maischberger Zu den Kosten einer Zuwanderung gehören auch die gesellschaftl. Kosten einer fatalen #Islamisierung sbeschleunigung mit Jihad!,YES,NO,2
"Familie, Freunde & Bekannte dazu bewegen bei den kommenden Wahlen National zu wählen! #Merkelmussweg #Parteienblockmussweg#Islamisierung",NO,NO,2
"In #Tunesien warten hundertTausende #Asylanten zum übersetzen nach Italien,um von Sizilien nach #Mitteleuropa weiterzureisen.",NO,NO,1
Ich habe die Schnauze so voll von diesem #asylanten geschwafel. #gutmenschen #fresse,NO,NO,1
"Islam Bank,Islam Partei.Ausbau islamischer Infrastruktur und unsere Politik Idioten reden immer noch von """"angeblicher"""" #Islamisierung",YES,YES,5
"Schande für Deutschland, dass es das Hashtag #Rapefugees gibt während es auch noch Make Rape Legal gibt! #AllHumansMatter! #AllBeingsMatter!",NO,NO,2
